ID,NVISDSC1,Shape_Leng,LEVEL_OF_D,L1_CLASS,L2_STRUCTU,L3_BROAD_F,SOURCE_DES,MVG_NUMBER,MVG_NAME,MVS_NUMBER,MVS_NAME,Shape_Le_1,Shape_Area,MFWS_NAME
11,12016,0.00589839,level5_association,Tussock grass, tussock grasses,Rytidosperma/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.004870804,9.88E-07,Grassland
15,12014,0.004713031,level5_association,Tussock grass, tussock grasses,Austrostipa/Bothriochloa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.00471303,1.13E-06,Grassland
16,12018,0.24939829,level5_association,Tussock grass, tussock grasses,Austrostipa/Bothriochloa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.025562749,9.82E-06,Grassland
20,12019,0.005479911,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.005236457,1.11E-06,Grassland
22,12019,0.047545153,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.044398076,2.08E-05,Grassland
23,12019,0.027011889,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.026225463,8.61E-06,Grassland
28,12025,0.00369456,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.00033388,1.50E-09,Grassland
29,11956,0.007028981,level5_association,Tussock grass, tussock grasses,Themeda/Bothriochloa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.007028981,1.78E-06,Grassland
30,11956,0.007379288,level5_association,Tussock grass, tussock grasses,Themeda/Bothriochloa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.007212927,1.77E-06,Grassland
40,11956,0.004377982,level5_association,Tussock grass, tussock grasses,Themeda/Bothriochloa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.004377984,9.10E-07,Grassland
42,12019,0.013450019,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.013450017,4.06E-06,Grassland
45,12012,0.013144239,level5_association,Tussock grass, tussock grasses,Rytidosperma/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.013144241,4.60E-06,Grassland
46,12019,0.140764004,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.020357916,8.28E-06,Grassland
49,11956,0.010044579,level5_association,Tussock grass, tussock grasses,Themeda/Bothriochloa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.006291193,1.30E-06,Grassland
53,12025,0.00388696,level5_association,Tussock grass, tussock grasses,Themeda/Austrostipa  tussock grasses,Native grassland_NG,19,Tussock Grasslands,36,Temperate tussock grasslands,0.003886958,6.53E-07,Grassland
13,10100,0.01545597,level5_association,Sedge, sedges,Poa/Phragmites  sedges,Aquatic fringing vegetation_AFV,21,"Other Grasslands, Herblands, Sedgelands and Rushlands",38,"Wet tussock grassland with herbs, sedges or rushes, herblands or ferns",0.015455968,3.28E-06,Aquatic
31,18024,0.010354088,unknown,L1 natural surface; non-vegetated,L2 aquatic (freshwater) environments; principally non-vegetated or if vegetated; then minimal or unquantified,Watercourse (open-water or substrate); L1 natural surface; non-vegetated; L2 aquatic (freshwater) environments; principally non-vegetated or if vegetated; then minimal or unquantified; L3 broad floristic formation; unknown,unknown,24,"Inland aquatic - freshwater, salt lakes, lagoons",44,"Freshwater, dams, lakes, lagoons or aquatic plants",0.010354089,5.03E-06,Aquatic
1,10660,0.01371992,level5_association,L1 natural surface; vegetated ; Shrub,L2 terrestrial environments; principally with native vegetation cover ;  sparse shrubland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Acacia  sparse shrubland,Derived native shrubland_DNS,29,"Regrowth, modified native vegetation",91,Regrowth or modified shrublands,0.01371992,4.37E-06,Regrowth
4,11132,0.008647821,level5_association,L1 natural surface; vegetated ; Tree,L2 terrestrial environments; principally with native vegetation cover ; Low woodland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Eucalyptus low woodland,Environmental planting native_EPN,29,"Regrowth, modified native vegetation",90,Regrowth or modified forests and woodlands,0.008647818,2.66E-06,Regrowth
5,10660,0.013174438,level5_association,L1 natural surface; vegetated ; Shrub,L2 terrestrial environments; principally with native vegetation cover ;  sparse shrubland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Acacia  sparse shrubland,Derived native shrubland_DNS,29,"Regrowth, modified native vegetation",91,Regrowth or modified shrublands,0.011862182,4.01E-06,Regrowth
8,11133,0.005218657,level5_association,L1 natural surface; vegetated ; Tree,L2 terrestrial environments; principally with native vegetation cover ; Low woodland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Eucalyptus low woodland,Environmental planting native_EPN,29,"Regrowth, modified native vegetation",90,Regrowth or modified forests and woodlands,0.005218657,1.32E-06,Regrowth
12,11133,0.004061673,level5_association,L1 natural surface; vegetated ; Tree,L2 terrestrial environments; principally with native vegetation cover ; Low woodland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Eucalyptus low woodland,Environmental planting native_EPN,29,"Regrowth, modified native vegetation",90,Regrowth or modified forests and woodlands,0.004061674,1.04E-06,Regrowth
44,10660,0.004417223,level5_association,L1 natural surface; vegetated ; Shrub,L2 terrestrial environments; principally with native vegetation cover ;  sparse shrubland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Acacia  sparse shrubland,Derived native shrubland_DNS,29,"Regrowth, modified native vegetation",91,Regrowth or modified shrublands,0.004417225,1.08E-06,Regrowth
47,11238,0.164161242,level5_association,L1 natural surface; vegetated ; Tree,L2 terrestrial environments; principally with native vegetation cover ; Low woodland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Eucalyptus low woodland,Environmental planting native_EPN,29,"Regrowth, modified native vegetation",90,Regrowth or modified forests and woodlands,0.046814218,2.06E-05,Regrowth
51,11133,0.12383775,level5_association,L1 natural surface; vegetated ; Tree,L2 terrestrial environments; principally with native vegetation cover ; Low woodland,Modified disturbed or regenerating native vegetation; L1 natural surface; vegetated; L2 terrestrial environments; principally with native vegetation cover; L3 broad floristic formation; Eucalyptus low woodland,Environmental planting native_EPN,29,"Regrowth, modified native vegetation",90,Regrowth or modified forests and woodlands,0.089254382,4.18E-05,Regrowth
